tracking_id,service_type,status,hub_arrival_timestamp,sla_deadline,is_priority
TRK-2139430042,Same Day,In Hub,2026-09-15 08:20:13,2026-09-15 08:20:13,false
TRK-2139430043,Regular,In Hub,2026-09-16 06:20:13,2026-09-15 10:20:13,false
TRK-2139430044,Regular,In Hub,2026-09-15 19:20:13,2026-09-15 08:20:13,false
TRK-2139430045,Same Day,In Hub,2026-09-15 14:20:13,2026-09-15 14:20:13,false
TRK-2139430046,Regular,In Hub,2026-09-15 01:20:13,2026-09-15 17:20:13,false
TRK-2139430047,Regular,In Hub,2026-09-15 02:20:13,2026-09-16 02:20:13,false
TRK-2139430048,Regular,In Hub,2026-09-15 07:20:13,2026-09-15 20:20:13,false
TRK-2139430049,Regular,In Hub,2026-09-15 07:20:13,2026-09-16 00:20:13,false
TRK-2139430050,Same Day,In Hub,2026-09-14 20:20:13,2026-09-15 19:20:13,false
TRK-2139430051,Same Day,In Hub,2026-09-15 01:20:13,2026-09-15 22:20:13,false
TRK-2139430052,Next Day,In Hub,2026-09-15 17:20:13,2026-09-16 04:20:13,false
TRK-2139430053,Same Day,In Hub,2026-09-16 02:20:13,2026-09-15 13:20:13,false
TRK-2139430054,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 04:20:13,false
TRK-2139430055,Same Day,In Hub,2026-09-15 18:20:13,2026-09-15 12:20:13,false
TRK-2139430056,Regular,In Hub,2026-09-15 18:20:13,2026-09-15 15:20:13,false
TRK-2139430057,Regular,In Hub,2026-09-15 00:20:13,2026-09-15 19:20:13,false
TRK-2139430058,Regular,In Hub,2026-09-15 10:20:13,2026-09-15 09:20:13,false
TRK-2139430059,Regular,In Hub,2026-09-15 17:20:13,2026-09-15 13:20:13,false
TRK-2139430060,Same Day,In Hub,2026-09-16 07:20:13,2026-09-15 14:20:13,false
TRK-2139430061,Regular,In Hub,2026-09-15 17:20:13,2026-09-16 05:20:13,false
TRK-2139430062,Regular,In Hub,2026-09-15 15:20:13,2026-09-15 11:20:13,false
TRK-2139430063,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 02:20:13,false
TRK-2139430064,Next Day,In Hub,2026-09-15 10:20:13,2026-09-15 17:20:13,false
TRK-2139430065,Regular,In Hub,2026-09-15 20:20:13,2026-09-15 07:20:13,false
TRK-2139430066,Regular,In Hub,2026-09-14 21:20:13,2026-09-15 19:20:13,false
TRK-2139430067,Same Day,In Hub,2026-09-14 23:20:13,2026-09-15 18:20:13,false
TRK-2139430068,Next Day,In Hub,2026-09-15 17:20:13,2026-09-16 03:20:13,false
TRK-2139430069,Regular,In Hub,2026-09-15 14:20:13,2026-09-15 11:20:13,false
TRK-2139430070,Same Day,In Hub,2026-09-15 11:20:13,2026-09-15 11:20:13,false
TRK-2139430071,Next Day,In Hub,2026-09-16 05:20:13,2026-09-15 10:20:13,false
TRK-2139430072,Regular,In Hub,2026-09-16 05:20:13,2026-09-15 13:20:13,false
TRK-2139430073,Regular,In Hub,2026-09-15 19:20:13,2026-09-15 11:20:13,false
TRK-2139430074,Same Day,In Hub,2026-09-16 07:20:13,2026-09-15 11:20:13,false
TRK-2139430075,Next Day,In Hub,2026-09-15 00:20:13,2026-09-15 21:20:13,false
TRK-2139430076,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 01:20:13,false
TRK-2139430077,Next Day,In Hub,2026-09-16 03:20:13,2026-09-15 08:20:13,false
TRK-2139430078,Next Day,In Hub,2026-09-15 08:20:13,2026-09-15 08:20:13,false
TRK-2139430079,Regular,In Hub,2026-09-15 08:20:13,2026-09-15 23:20:13,false
TRK-2139430080,Next Day,In Hub,2026-09-15 19:20:13,2026-09-15 10:20:13,false
TRK-2139430081,Same Day,In Hub,2026-09-15 17:20:13,2026-09-15 11:20:13,false
TRK-2139430082,Next Day,In Hub,2026-09-15 09:20:13,2026-09-16 01:20:13,false
TRK-2139430083,Same Day,In Hub,2026-09-15 10:20:13,2026-09-15 23:20:13,false
TRK-2139430084,Same Day,In Hub,2026-09-16 03:20:13,2026-09-15 11:20:13,false
TRK-2139430085,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 04:20:13,false
TRK-2139430086,Same Day,In Hub,2026-09-15 17:20:13,2026-09-16 01:20:13,false
TRK-2139430087,Next Day,In Hub,2026-09-15 12:20:13,2026-09-15 10:20:13,false
TRK-2139430088,Same Day,In Hub,2026-09-15 13:20:13,2026-09-16 01:20:13,false
TRK-2139430089,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 03:20:13,false
TRK-2139430090,Regular,In Hub,2026-09-15 17:20:13,2026-09-16 03:20:13,false
TRK-2139430091,Same Day,In Hub,2026-09-15 10:20:13,2026-09-15 20:20:13,false
TRK-2139430092,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 05:20:13,false
TRK-2139430093,Next Day,In Hub,2026-09-15 06:20:13,2026-09-16 02:20:13,false
TRK-2139430094,Regular,In Hub,2026-09-15 18:20:13,2026-09-15 10:20:13,false
TRK-2139430095,Next Day,In Hub,2026-09-16 05:20:13,2026-09-15 13:20:13,false
TRK-2139430096,Same Day,In Hub,2026-09-15 07:20:13,2026-09-16 01:20:13,false
TRK-2139430097,Regular,In Hub,2026-09-16 01:20:13,2026-09-15 08:20:13,false
TRK-2139430098,Same Day,In Hub,2026-09-15 09:20:13,2026-09-15 23:20:13,false
TRK-2139430099,Same Day,In Hub,2026-09-15 11:20:13,2026-09-15 07:20:13,false
TRK-2139430100,Regular,In Hub,2026-09-15 05:20:13,2026-09-15 20:20:13,false
TRK-2139430101,Regular,In Hub,2026-09-16 01:20:13,2026-09-16 08:53:13,false
TRK-2139430102,Same Day,In Hub,2026-09-16 00:20:13,2026-09-16 08:21:13,false
TRK-2139430103,Same Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:50:13,false
TRK-2139430104,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 07:54:13,false
TRK-2139430105,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 08:04:13,false
TRK-2139430106,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 09:16:13,false
TRK-2139430107,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:58:13,false
TRK-2139430108,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 09:11:13,false
TRK-2139430109,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 08:06:13,false
TRK-2139430110,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 07:44:13,false
TRK-2139430111,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 09:19:13,false
TRK-2139430112,Next Day,In Hub,2026-09-15 20:20:13,2026-09-16 08:31:13,false
TRK-2139430113,Same Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:52:13,false
TRK-2139430114,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 09:12:13,false
TRK-2139430115,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:37:13,false
TRK-2139430116,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:14:13,false
TRK-2139430117,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 07:43:13,false
TRK-2139430118,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:39:13,false
TRK-2139430119,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:56:13,false
TRK-2139430120,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:44:13,false
TRK-2139430121,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 09:13:13,false
TRK-2139430122,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:41:13,false
TRK-2139430123,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:57:13,false
TRK-2139430124,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 08:20:13,false
TRK-2139430125,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 08:32:13,false
TRK-2139430126,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:10:13,false
TRK-2139430127,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:33:13,false
TRK-2139430128,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:05:13,false
TRK-2139430129,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 07:44:13,false
TRK-2139430130,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 07:46:13,false
TRK-2139430131,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 08:13:13,false
TRK-2139430132,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:37:13,false
TRK-2139430133,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:57:13,false
TRK-2139430134,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 08:51:13,false
TRK-2139430135,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 07:42:13,false
TRK-2139430136,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:20:13,false
TRK-2139430137,Regular,In Hub,2026-09-16 00:20:13,2026-09-16 08:58:13,false
TRK-2139430138,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 09:09:13,false
TRK-2139440139,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 07:36:13,false
TRK-2139440140,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 09:14:13,false
TRK-2139440141,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:45:13,false
TRK-2139440142,Regular,In Hub,2026-09-15 23:20:13,2026-09-16 07:37:13,false
TRK-2139440143,Same Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:30:13,false
TRK-2139440144,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:13:13,false
TRK-2139440145,Regular,In Hub,2026-09-16 01:20:13,2026-09-16 09:10:13,false
TRK-2139440146,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:49:13,false
TRK-2139440147,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 07:52:13,false
TRK-2139440148,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 08:51:13,false
TRK-2139440149,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:32:13,false
TRK-2139440150,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 09:11:13,false
TRK-2139440151,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:59:13,false
TRK-2139440152,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 07:55:13,false
TRK-2139440153,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:13:13,false
TRK-2139440154,Regular,In Hub,2026-09-16 01:20:13,2026-09-16 08:07:13,false
TRK-2139440155,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:15:13,false
TRK-2139440156,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 09:05:13,false
TRK-2139440157,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 08:53:13,false
TRK-2139440158,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:56:13,false
TRK-2139440159,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 08:23:13,false
TRK-2139440160,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:01:13,false
TRK-2139440161,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:48:13,false
TRK-2139440162,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:57:13,false
TRK-2139440163,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:53:13,false
TRK-2139440164,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:41:13,false
TRK-2139440165,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 09:04:13,false
TRK-2139440166,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 07:51:13,false
TRK-2139440167,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:38:13,false
TRK-2139440168,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 08:57:13,false
TRK-2139440169,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:46:13,false
TRK-2139440170,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:15:13,false
TRK-2139440171,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 09:01:13,false
TRK-2139440172,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 07:39:13,false
TRK-2139440173,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:34:13,false
TRK-2139440174,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 08:56:13,false
TRK-2139440175,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 09:06:13,false
TRK-2139440176,Same Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:50:13,false
TRK-2139440177,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:25:13,false
TRK-2139440178,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:50:13,false
TRK-2139440179,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 07:48:13,false
TRK-2139440180,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 07:59:13,false
TRK-2139440181,Same Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:38:13,false
TRK-2139440182,Regular,In Hub,2026-09-15 23:20:13,2026-09-16 08:41:13,false
TRK-2139440183,Same Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:37:13,false
TRK-2139440184,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:04:13,false
TRK-2139440185,Regular,In Hub,2026-09-16 00:20:13,2026-09-16 08:15:13,false
TRK-2139440186,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 08:21:13,false
TRK-2139440187,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 09:09:13,false
TRK-2139440188,Same Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:04:13,false
TRK-2139440189,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 09:15:13,false
TRK-2139440190,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:04:13,false
TRK-2139440191,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 07:42:13,false
TRK-2139440192,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 07:57:13,false
TRK-2139440193,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:20:13,false
TRK-2139440194,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 07:37:13,false
TRK-2139440195,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:17:13,false
TRK-2139440196,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:34:13,false
TRK-2139440197,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 08:05:13,false
TRK-2139440198,Regular,In Hub,2026-09-16 01:20:13,2026-09-16 07:56:13,false
TRK-2139440199,Same Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:47:13,false
TRK-2139440200,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 07:42:13,false
TRK-2139440201,Regular,In Hub,2026-09-16 03:20:13,2026-09-16 08:42:13,false
TRK-2139440202,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:38:13,false
TRK-2139440203,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:02:13,false
TRK-2139440204,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:46:13,false
TRK-2139440205,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 09:11:13,false
TRK-2139440206,Next Day,In Hub,2026-09-15 20:20:13,2026-09-16 07:31:13,false
TRK-2139440207,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 07:57:13,false
TRK-2139440208,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:33:13,false
TRK-2139440209,Regular,In Hub,2026-09-16 03:20:13,2026-09-16 08:32:13,false
TRK-2139440210,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 07:39:13,false
TRK-2139440211,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:55:13,false
TRK-2139440212,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 08:10:13,false
TRK-2139440213,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 07:37:13,false
TRK-2139440214,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 07:53:13,false
TRK-2139440215,Regular,In Hub,2026-09-16 02:20:13,2026-09-16 08:45:13,false
TRK-2139440216,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:39:13,false
TRK-2139440217,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:55:13,false
TRK-2139440218,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:33:13,false
TRK-2139440219,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 08:35:13,false
TRK-2139440220,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 08:21:13,false
TRK-2139440221,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 07:50:13,false
TRK-2139440222,Next Day,In Hub,2026-09-15 20:20:13,2026-09-16 07:50:13,false
TRK-2139440223,Same Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:06:13,false
TRK-2139440224,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 07:55:13,false
TRK-2139440225,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:43:13,false
TRK-2139440226,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 08:12:13,false
TRK-2139440227,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 09:17:13,false
TRK-2139440228,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 08:29:13,false
TRK-2139440229,Regular,In Hub,2026-09-15 23:20:13,2026-09-16 08:06:13,false
TRK-2139440230,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:20:13,false
TRK-2139440231,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 09:10:13,false
TRK-2139440232,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 07:30:13,false
TRK-2139440233,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:50:13,false
TRK-2139440234,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 09:10:13,false
TRK-2139440235,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:45:13,false
TRK-2139440236,Regular,In Hub,2026-09-15 20:20:13,2026-09-16 07:49:13,false
TRK-2139440237,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 07:31:13,false
TRK-2139440238,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:43:13,false
TRK-2139440239,Regular,In Hub,2026-09-15 23:20:13,2026-09-16 09:14:13,false
TRK-2139440240,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 09:18:13,false
TRK-2139440241,Same Day,In Hub,2026-09-16 01:20:13,2026-09-16 07:32:13,false
TRK-2139440242,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 09:11:13,false
TRK-2139440243,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:33:13,false
TRK-2139440244,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 09:10:13,false
TRK-2139440245,Same Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:17:13,false
TRK-2139440246,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:10:13,false
TRK-2139440247,Regular,In Hub,2026-09-15 23:20:13,2026-09-16 07:57:13,false
TRK-2139440248,Regular,In Hub,2026-09-16 03:20:13,2026-09-16 07:43:13,false
TRK-2139440249,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 09:19:13,false
TRK-2139440250,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:29:13,false
TRK-2139440251,Same Day,In Hub,2026-09-16 00:20:13,2026-09-16 08:41:13,false
TRK-2139440252,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:30:13,false
TRK-2139440253,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 09:17:13,false
TRK-2139440254,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 08:28:13,false
TRK-2139440255,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 08:22:13,false
TRK-2139440256,Next Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:34:13,false
TRK-2139440257,Regular,In Hub,2026-09-16 01:20:13,2026-09-16 08:51:13,false
TRK-2139440258,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 07:41:13,false
TRK-2139440259,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:39:13,false
TRK-2139440260,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:58:13,false
TRK-2139440261,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 07:35:13,false
TRK-2139440262,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 07:51:13,false
TRK-2139440263,Next Day,In Hub,2026-09-16 03:20:13,2026-09-16 07:42:13,false
TRK-2139440264,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 09:09:13,false
TRK-2139440265,Next Day,In Hub,2026-09-15 20:20:13,2026-09-16 09:05:13,false
TRK-2139440266,Same Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:38:13,false
TRK-2139440267,Same Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:26:13,false
TRK-2139440268,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 08:35:13,false
TRK-2139440269,Same Day,In Hub,2026-09-16 03:20:13,2026-09-16 08:38:13,false
TRK-2139440270,Regular,In Hub,2026-09-16 03:20:13,2026-09-16 08:15:13,false
TRK-2139440271,Regular,In Hub,2026-09-16 03:20:13,2026-09-16 08:23:13,false
TRK-2139440272,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 09:16:13,false
TRK-2139440273,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:49:13,false
TRK-2139440274,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:24:13,false
TRK-2139440275,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:47:13,false
TRK-2139440276,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:43:13,false
TRK-2139440277,Next Day,In Hub,2026-09-15 21:20:13,2026-09-16 08:41:13,false
TRK-2139440278,Next Day,In Hub,2026-09-15 20:20:13,2026-09-16 09:06:13,false
TRK-2139440279,Regular,In Hub,2026-09-15 22:20:13,2026-09-16 07:31:13,false
TRK-2139440280,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 07:49:13,false
TRK-2139440281,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:43:13,false
TRK-2139440282,Regular,In Hub,2026-09-15 23:20:13,2026-09-16 08:15:13,false
TRK-2139440283,Next Day,In Hub,2026-09-16 00:20:13,2026-09-16 09:14:13,false
TRK-2139440284,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 07:30:13,false
TRK-2139440285,Next Day,In Hub,2026-09-16 01:20:13,2026-09-16 08:22:13,false
TRK-2139440286,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:00:13,false
TRK-2139440287,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 07:58:13,false
TRK-2139440288,Regular,In Hub,2026-09-16 00:20:13,2026-09-16 07:50:13,false
TRK-2139440289,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 09:12:13,false
TRK-2139440290,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 07:59:13,false
TRK-2139440291,Same Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:21:13,false
TRK-2139440292,Regular,In Hub,2026-09-15 21:20:13,2026-09-16 08:18:13,false
TRK-2139440293,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 07:39:13,false
TRK-2139440294,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 07:56:13,false
TRK-2139440295,Next Day,In Hub,2026-09-15 23:20:13,2026-09-16 08:25:13,false
TRK-2139440296,Same Day,In Hub,2026-09-16 02:20:13,2026-09-16 08:16:13,false
TRK-2139440297,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 08:21:13,false
TRK-2139440298,Next Day,In Hub,2026-09-15 19:20:13,2026-09-16 08:31:13,false
